DateTime,High,Low,Average,Volume BTC
2015-12-16 00:00:00,466.81,442.53,457.21,183799.48
2015-12-15 00:00:00,466.25,444.21,457.70,124606.31
2015-12-14 00:00:00,448.08,429.62,441.77,246015.43
2015-12-13 00:00:00,442.86,423.15,436.53,87135.71
2015-12-12 00:00:00,470.89,408.99,432.62,242918.48
2015-12-11 00:00:00,453.92,416.50,433.61,183080.26
2015-12-10 00:00:00,420.94,412.14,416.69,74431.49
2015-12-09 00:00:00,425.69,406.48,418.50,134203.27
2015-12-08 00:00:00,419.77,392.99,397.52,83019.33
2015-12-07 00:00:00,401.44,384.72,394.55,99726.87
2015-12-06 00:00:00,402.94,387.08,394.46,137178.68
2015-12-05 00:00:00,391.01,363.95,375.95,120103.1
2015-12-04 00:00:00,365.65,356.43,361.55,60443.76
2015-12-03 00:00:00,371.68,355.81,363.20,87631.54
2015-12-02 00:00:00,363.57,349.23,356.65,98505.4
2015-12-01 00:00:00,381.42,356.26,368.28,118286.01
2015-11-30 00:00:00,382.52,370.65,377.01,134073.74
2015-11-29 00:00:00,373.80,356.51,362.67,69270.57
2015-11-28 00:00:00,365.08,352.52,356.44,59004.67
2015-11-27 00:00:00,363.59,347.29,356.16,107816.42
2015-11-26 00:00:00,369.12,329.96,343.62,220171.81
2015-11-25 00:00:00,331.48,316.52,324.35,79696.79
2015-11-24 00:00:00,330.54,319.81,323.34,50670.79
2015-11-23 00:00:00,326.26,321.68,324.00,41062.52
2015-11-22 00:00:00,331.57,321.89,326.03,33658.32
2015-11-21 00:00:00,330.68,320.00,326.06,43385.87
2015-11-20 00:00:00,327.87,313.12,320.82,109923.75
2015-11-19 00:00:00,340.29,325.96,332.56,86202.48
2015-11-18 00:00:00,338.89,331.70,335.47,77052.17
2015-11-17 00:00:00,341.45,330.94,335.88,95539.05
2015-11-16 00:00:00,333.44,315.33,322.89,90404.9
2015-11-15 00:00:00,336.67,316.62,329.24,95555.48
2015-11-14 00:00:00,340.73,330.60,335.14,77532.44
2015-11-13 00:00:00,342.46,326.00,334.73,105168.0
2015-11-12 00:00:00,344.77,313.24,328.12,176483.39
